Tweets,isLiterary
@danielmaran0 you can use a app that tells you who is not following you. i use unfollower stats.,True
"✨ stolen kiss

deeznutstk would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/lldpeq5vsy https://t.co/7dctbshn7c",True
"“there are two different kinds of ninja. those like you who are born with a natural talent &amp; do not have to work at it &amp; those like me! the ones who have to train everyday of our lives!” - rock lee 

new drip from @hypland 🥷🏽 https://t.co/t19o1bkav8",True
"excited for all of you who don't think the nintendo direct will be 10 minutes of dread, a repeat of that with a voiceover, and then the same with pokemon diamond/pearl.",False
"@thereidout @jrubinblogger they have literally said they would prefer to die than compromise with democrats. 

when someone shows you who they are, believe them.",True
"✨ stolen kiss

kr1shieiji would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/frxft3os5h https://t.co/l2yzegfk08",True
"annie, jesus said come to me all you who are heavy laden ( depressed) and i will give you rest. lay your burdens on him, he loves you because you are his precious child. god give you peace! https://t.co/fgwjorb51y",True
full text for those of you who can't read the image can be found at this link: https://t.co/nj0ziow3r3,False
"unlike you, who have to go through 'marriage' to acquire his last name, i will obtain his last name by slaying him on the top of a mountain and taking it for my own",True
"i just realized something... if you live with a roommate who keeps letting some asshole live with you who keeps stealing from him and moving back in over and over, you can basically steal whatever you want. everything in the house now belongs to you.",True
"@rwmalonemd we are living in sad times, but thank god we have scientist like you who stand behind their convictions!",True
"so, it is you who opens the last door? 
no bridge can span the chasm that is between us! 
look at me, caim! you must never forget this face.",True
"@cnbc @us_fda  your mom  and dad  or grand parents first fda ! 
you guys in fda  all of you who are approving that ppls can have three jab of covid vaccine in less then a year must come front of world medias ,&amp; tv  with your parents and have them to have  a covid vaccine first #fda",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year kaw4gar1 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/gaqoujszbp https://t.co/pvthwvvvkm",True
"@mixedracemagic @britnidwrites @sincerelytops so. why do i get to gate keep an identity that had always included a wide range of skin tones?

simply because you who admits or at least says you don't present as black, believe anyone with mixed race should be excluded. https://t.co/vzieagmych",True
"beautiful mademoiselle. 
is there fierceness within you? 
who will survive to the end?",True
"@anoepiphany now ur saying that, ur really desperate to find ways to slander them. they will grow even more. their growth isnt in a fast pace, but one day more people will recognize their talent and music. ig unlike you who's jobless with no life",False
"this from the man who tells you who you can have in your own home. 
another rules for thee but not for me ruler right here. https://t.co/4kkuft7ezy",True
"@frame_vr no, it is you who blows our collective minds by creating such a powerful and easy to use tool. thank you!",True
"for those of you who have ever fallen in love with anything, pick an instance and please tell us, how did it feel?",True
"for those of you who care. i couldn't care less about jesse. but, i do hope his wife will be okay. 

rev. jesse jackson expected to be discharged from rehab facility today

https://t.co/gob0v6cz5w",False
@hecklerb1 @james21271210 @jarthurmerritt @canogaking @usatodaydc @usatoday i’ll tell you who i’m not upset at…or blaming…trump.  that was your first go-to excuse. now you are back tracking.,False
@caroljsroth it’s people like you who keep most of us on @twitter.,True
"✨ stolen kiss

henry_stickmin_ would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/qgrxzg94k2 https://t.co/sge4qqscgz",True
@ratattatattata2 i think its you who ned a brain.. im literally trying to explain to you and giving you both sides of the story with those threads but just cant seem to read it 🤷‍♀️ im not gonna argue with someone who cant give me facts and points. keep it up defending yd!! goodluck tho,True
there’s always that 1 bitch who thinks they run shit at your job. ma’am let me show you who really runs shit,True
"@activatelearn yes. and while it's galling to a lot of us, it must have an extra flavour for someone like you who did serve.",True
"getting your covid-19 vaccine isn’t just about keeping you healthy; it’s also about protecting everyone around you who could become very sick from covid-19.

get your vaccine: https://t.co/jfsppsuycx. https://t.co/gxgv1dcslk",True
"as if it’s been promised, i mumble by myself in front of you, who can’t hear
i want to go to you",False
"when someone shows you who they are, believe them the first time.",True
"@varianttiresias @arizona_bonnie @anthonyzenkus @ibaraeleven @senschumer @adelphiu @columbia don't be stupid. i don't think either is worth losing sleep over. it's people like you who are convinced that this is something beause people like zenkus-no friend to women at all-tell you nonsense. children don't like adults, no crime.",True
"a bad job ruins good employees, and with that companies wonder why they have a hard time finding employees. who’d you trust when asking about a job ? someone who’s worked there or the people trying to hire you? who knows the cons and who’s the con artist?  

just some thoughts.",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year _charles_calvin 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/bevpy2pdta https://t.co/ole6nbffgy",True
"@sunshin00252093 @hollywo30274033 @molejoels14 @maajidnawaz don’t forget to fight for the freedom of the nurses and doctors you expect to care for you, who will be exposed to high viral loads of covid every day. for australian healthcare workers, their struggle may only just be beginning if we don’t get high vaccination rates.",True
"@boboog1 it’s called brotherly love, if i nor care fr you who will?",False
"i will try to keep people posted with any closer developments of getting a new desktop but for now i will be a bit on the back-burner as i also work on life, sorry for those of you who enjoy me doing goofy stuff on stream and i always appreciate your loving encouragement &lt;3",True
@patriottakes well he can ride a bike &amp; run unlike you who couldn’t even walk down a ramp,False
"it was you who led me through the maze you're my light and salvation
the rain is coming close to an end and i won't let go of your hand
✷      ·  　　　　　·
  　 + 　  　 · 　　  ✫ 　　　　　　　 
.      ✺  · 　.　*  ⋆ 　.
#suga
#sugaourworld
#myyooniverse
suga our universe https://t.co/zaydtnqc4y",True
👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼 it is you who has to give up snake 🐍 !!!!  ozan doesn't love you https://t.co/jhmdkgpuq2,True
